Chp_sq	Recomb	N	n	K	k	Probability
15	4	1532	208	366	49	0.06942364546806967
15	5	577	208	153	34	9.916896590493189e-06
15	6	271	208	72	13	1.1901285886871318e-41
15	7	1091	208	298	60	0.05853131459233653
15	8	563	208	121	23	1.0313286503049576e-06
15	9	440	208	128	27	4.565323317827628e-13
15	10	746	208	175	43	0.041902417068740316
15	11	667	208	178	41	0.0016352026811564144
15	12	1079	208	196	37	0.07917583356198232
15	13	925	208	229	53	0.06951492203909161
15	14	785	208	178	44	0.06472706168250839
15	15	1092	208	266	208	8.886574786015693e-171
15	16	949	208	195	45	0.06934454345960818
16	1	231	187	55	9	-1
16	2	814	187	178	36	0.05053363221116697
16	3	317	187	96	20	4.471652711162141e-20
16	4	1532	187	366	46	0.07017189433114063
16	5	577	187	153	37	0.0030728874575135685
16	6	271	187	72	10	1.4135846928257436e-31
16	7	1091	187	298	52	0.07050430544997065
16	8	563	187	121	20	2.6480190343489857e-06
16	9	440	187	128	23	4.546403317476038e-12
16	10	746	187	175	32	0.0045816826037099
16	11	667	187	178	43	0.0318664594324484
16	12	1079	187	196	36	0.07464945465239785
16	13	925	187	229	51	0.04990276727194711
16	14	785	187	178	42	0.07957123477978481
16	15	1092	187	266	45	0.07435127102691293
16	16	949	187	195	187	3.958876722641235e-190
